case_id,year,month,state,location,species,status,illnesses,hospitalizations,fatalities
1,1998,January,California,Restaurant,,,20,0.0,0.0
2,1998,January,California,,,,112,0.0,0.0
3,1998,January,California,Restaurant,,,35,0.0,0.0
4,1998,January,California,Restaurant,Scombroid toxin,Confirmed,4,0.0,0.0
5,1998,January,California,Private Home/Residence,Salmonella enterica,Confirmed,26,3.0,0.0
6,1998,January,California,Restaurant,Shigella boydii,Confirmed,25,3.0,0.0
7,1998,January,California,Restaurant,,,8,0.0,0.0
8,1998,January,California,Restaurant,Salmonella enterica,Confirmed,4,3.0,0.0
9,1998,January,Colorado,Restaurant,Virus,Suspected,21,,
10,1998,January,Colorado,Restaurant,Virus,Suspected,3,,0.0
11,1998,January,Colorado,Grocery Store,Virus,Suspected,8,,
12,1998,January,Colorado,Restaurant,Virus,Suspected,28,,0.0
13,1998,January,Colorado,Private Home/Residence,Virus,Suspected,10,,
14,1998,January,Florida,Restaurant,,,2,,
15,1998,January,Florida,Restaurant,,,3,0.0,0.0
16,1998,January,Florida,Restaurant,Clostridium perfringens,Suspected,3,0.0,0.0
17,1998,January,Florida,Restaurant,Norovirus genogroup I,Suspected,2,,
18,1998,January,Florida,Restaurant,Staphylococcus aureus,Suspected,2,0.0,0.0
19,1998,January,Florida,Restaurant,Bacillus cereus,Suspected,2,0.0,0.0
20,1998,January,Florida,Restaurant,Scombroid toxin,Suspected,2,2.0,0.0
21,1998,January,Florida,Restaurant,Campylobacter unknown,Confirmed,3,1.0,0.0
22,1998,January,Florida,Restaurant,,,3,0.0,0.0
23,1998,January,Florida,Restaurant,Bacillus cereus,Suspected,5,0.0,0.0
24,1998,January,Florida,Restaurant,,,3,0.0,0.0
25,1998,January,Florida,Restaurant,,,5,0.0,0.0
26,1998,January,Florida,Restaurant,,,2,0.0,0.0
27,1998,January,Florida,Restaurant,,,2,0.0,0.0
28,1998,January,Florida,Restaurant,,,2,1.0,0.0
29,1998,January,Florida,Private Home/Residence,,,18,5.0,0.0
30,1998,January,Florida,Restaurant,,,2,0.0,0.0
31,1998,January,Florida,Grocery Store,,,2,0.0,0.0
32,1998,January,Florida,Restaurant,Campylobacter unknown,Suspected,3,,
33,1998,January,Guam,Private Home/Residence,,,2,,
34,1998,January,Guam,Restaurant,Vibrio parahaemolyticus,Confirmed,47,0.0,0.0
35,1998,January,Hawaii,Private Home/Residence,Ciguatoxin,Confirmed,3,0.0,0.0
