case_id,food
1,unknown
2,custard
3,unknown
4,fish
4,ahi
5,lasagna
5,unspecified
5,eggs
5,other
6,unknown
7,unknown
8,stuffing
8,unspecified
8,sandwich
8,turkey
9,salad
9,unspecified
10,peppers
10,chili
11,unknown
12,unknown
13,unknown
14,chicken salad
15,hot dog
15,kielbasa
16,ethnic style
16,unspecified
17,greek salad
18,ground beef
18,cheeseburger
19,pasta
19,unspecified
20,sauces
20,unspecified
20,tuna
20,unspecified
21,sandwich
21,chicken
22,chicken
22,unspecified
23,chicken
23,fried
24,doughnuts
24,unspecified
25,tomato sauce
25,unspecified
26,steak
26,unspecified
27,unknown food
28,chicken
28,nuggets/fingers
28,french fries
28,soda
28,unspecified
29,turkey
29,unspecified
30,steak
30,unspecified
31,pork
31,unspecified
32,salmon
32,raw
32,tuna
32,raw
33,other milk
33,unspecified
34,chicken
34,unspecified
35,fish
35,grouper
35,unspecified
36,fish
36,mahi mahi
37,fish
37,ahi
38,unknown
39,unknown
40,unknown
41,unknown
42,ground beef
42,unspecified
43,chicken salad
44,burrito
44,chicken
45,unknown
46,unknown
47,unknown
48,unknown
49,rice
49,unspecified
49,chicken
49,unspecified
49,pork
49,unspecified
50,cake
50,tiramisu
50,eggs
50,other
51,chicken salad
52,chicken fried rice
53,unknown
54,dips
54,unspecified
55,unknown
56,chicken
56,unspecified
56,cake
56,cheese
57,macaroni and cheese
57,chicken
57,unspecified
58,multiple foods
59,eggs
59,unspecified
59,pork
59,bacon
59,potato
59,unspecified
60,unknown
61,ground beef
61,cheeseburger
62,rice
62,unspecified
62,lettuce
62,unspecified
63,sandwich
63,roast beef
64,soup unspecified
64,stew/chili
64,unspecified
64,steak
64,unspecified
65,pizza
65,unspecified
66,eggs
66,unspecified
67,unknown
68,blue cheese dressing
69,eggnog
69,homemade
70,unknown
71,sausage
71,dried
72,unspecified fruit
73,unknown
74,unknown
75,unknown
76,unknown
77,unknown
78,pizza
78,pepperoni
79,unknown
80,homemade cheese
80,unspecified
81,cake
81,unspecified
81,ice cream
81,unspecified
82,chicken
82,unspecified
83,unknown
84,turkey salad
85,unknown
86,unknown
87,unknown
88,beef
88,unspecified
89,enchilada
89,chicken
90,onion dip
91,refried beans
91,unspecified
91,peppers
91,chili
92,cream cheese
93,french toast
93,unspecified
93,shell eggs
93,scrambled hard
94,deli meat
94,unspecified
95,stir-fry
95,unspecified
