case_id,food
1,unknown
2,custard
3,unknown
4,fish
4,ahi
5,lasagna
5,unspecified
5,eggs
5,other
6,unknown
7,unknown
8,stuffing
8,unspecified
8,sandwich
8,turkey
9,salad
9,unspecified
10,peppers
10,chili
11,unknown
12,unknown
13,unknown
14,chicken salad
15,hot dog
15,kielbasa
16,ethnic style
16,unspecified
17,greek salad
18,ground beef
18,cheeseburger
19,pasta
19,unspecified
20,sauces
20,unspecified
20,tuna
20,unspecified
21,sandwich
21,chicken
22,chicken
22,unspecified
23,chicken
23,fried
24,doughnuts
24,unspecified
25,tomato sauce
25,unspecified
26,steak
26,unspecified
27,unknown food
28,chicken
28,nuggets/fingers
28,french fries
28,soda
28,unspecified
29,turkey
29,unspecified
30,steak
30,unspecified
31,pork
31,unspecified
32,salmon
32,raw
32,tuna
32,raw
33,other milk
33,unspecified
34,chicken
34,unspecified
35,fish
35,grouper
35,unspecified
36,fish
36,mahi mahi
37,fish
37,ahi
38,unknown
39,unknown
40,unknown
41,unknown
42,ground beef
42,unspecified
43,chicken salad
44,burrito
44,chicken
45,unknown
46,unknown
47,unknown
48,unknown
49,rice
49,unspecified
49,chicken
49,unspecified
49,pork
49,unspecified
50,cake
50,tiramisu
50,eggs
50,other
51,chicken salad
52,chicken fried rice
53,unknown
54,dips
54,unspecified
55,unknown
56,chicken
56,unspecified
56,cake
56,cheese
57,macaroni and cheese
57,chicken
57,unspecified
58,multiple foods
59,eggs
59,unspecified
59,pork
59,bacon
59,potato
59,unspecified
61,unknown
62,ground beef
62,cheeseburger
63,rice
63,unspecified
63,lettuce
63,unspecified
64,sandwich
64,roast beef
65,soup unspecified
65,stew/chili
65,unspecified
65,steak
65,unspecified
66,pizza
66,unspecified
67,eggs
67,unspecified
68,unknown
69,blue cheese dressing
70,eggnog
70,homemade
71,unknown
72,sausage
72,dried
73,unspecified fruit
74,unknown
75,unknown
76,unknown
77,unknown
78,unknown
79,pizza
79,pepperoni
80,unknown
81,homemade cheese
81,unspecified
82,cake
82,unspecified
82,ice cream
82,unspecified
83,pasta
83,unspecified
83,meatballs
84,chicken
84,unspecified
85,unknown
86,turkey salad
87,unknown
88,unknown
89,unknown
90,beef
90,unspecified
91,enchilada
91,chicken
92,onion dip
93,refried beans
93,unspecified
93,peppers
93,chili
94,cream cheese
95,french toast
95,unspecified
95,shell eggs
95,scrambled hard
96,deli meat
